2026-04-17	2026-03-04	IBIT	iShares Bitcoin Trust	49	—	Sheri Biggs	REP	SC03		$100,001 - $250,000
2026-04-10	2026-03-04	PAYX	Paychex, Inc.	54	-6%	Michael McCaul	REP	TX10	Foreign Affairs	$100,001 - $250,000
2026-03-10	2026-02-09	TSM	Taiwan Semiconductor Manufacturing Company Ltd.	46	-3%	Gilbert Cisneros	REP	CA31		$100,001 - $250,000
2026-02-25	2026-02-03	GOOGL	Alphabet Inc.	40	+32%	Cleo Fields	REP	LA06		$100,001 - $250,000
2026-02-25	2026-02-03	META	Meta Platforms, Inc.	64	+6%	Cleo Fields	REP	LA06		$100,001 - $250,000
2026-02-25	2026-02-03	MU	Micron Technology, Inc.	33	+26%	Cleo Fields	REP	LA06		$100,001 - $250,000
2026-02-12	2026-01-13	IFF	International Flavors & Fragrances, Inc.	45	-6%	Michael McCaul	REP	TX10	Foreign Affairs	$100,001 - $250,000
2026-02-12	2026-01-21	FCN	FTI Consulting, Inc.	72	+27%	Michael McCaul	REP	TX10	Foreign Affairs	$100,001 - $250,000
