2026-05-05	ECL	Ecolab Inc.	66	David Maclennan	Director	$206k	800	$256.91	+
2026-05-05	WTW	Willis Towers Watson Public Limited Company	73	Carl Aaron Hess	Chief Executive Officer	$510k	2k	$255.08	+
2026-05-05	BUSE	First Busey Corporation	55	Scott A. Phillips	Chief Accounting Officer	$130k	5k	$25.90	+
2026-05-05	CLX	Clorox Company (The)	67	Pierre R Breber	Director	$429k	5k	$85.82	+
2026-05-05	TENB	Tenable Holdings, Inc.	48	Matthew Charles Brown	Chief Financial Officer	$258k	12k	$21.54	+
2026-05-05	OPCH	Option Care Health, Inc.	78	Jansen M Kraemer Harry JR	Director	$784k	37k	$21.41	+
2026-05-04	RIVN	Rivian Automotive, Inc.	71	VOLKSWAGEN AG / Volkswagen US-Holding, Inc.	10% Owner	$999.9M	62.9M	$15.90	+
2026-05-04	JEF	Jefferies Financial Group Inc.	41	SUMITOMO MITSUI FINANCIAL GROUP, INC.	Director	$310.0M	6.4M	$48.22	+
2026-05-04	CSGP	CoStar Group, Inc.	72	Andrew C Florance	President and CEO	$111k	3k	$35.82	+
2026-05-04	CSGP	CoStar Group, Inc.	72	Andrew C Florance	President and CEO	$2.4M	68k	$35.17	+
2026-05-04	TMUS	T-Mobile US, Inc.	61	Andre Almeida	Chief Broadband, Ent. & Emerg	$1.0M	5k	$196.18	+
2026-05-04	ARE	Alexandria Real Estate Equities, Inc.	55	Gregory Calvin Thomas	EVP - CTO	$144k	4k	$41.00	+
2026-05-04	ACGL	Arch Capital Group Ltd.	63	Daniel Joseph Houston	Director	$499k	5k	$94.08	+
2026-05-04	OPCH	Option Care Health, Inc.	78	Meenal Sethna	Chief Financial Officer	$327k	16k	$20.16	+
2026-05-04	OPCH	Option Care Health, Inc.	78	John Charles Rademacher	Chief Executive Officer	$265k	13k	$21.18	+
2026-05-04	FND	Floor & Decor Holdings, Inc.	57	Bryan Langley	EVP & CHIEF FINANCIAL OFFICER	$122k	3k	$48.69	+
2026-05-04	FND	Floor & Decor Holdings, Inc.	57	Bradley Paulsen	Chief Executive Officer	$251k	5k	$50.25	+
2026-05-04	SRAD	Sportradar Group AG	66	Koerl Carsten	Chief Executive Officer	$1.5M	111k	$13.06	+
2026-05-04	SRAD	Sportradar Group AG	66	Koerl Carsten	Chief Executive Officer	$1.9M	143k	$13.23	+
2026-05-04	SRAD	Sportradar Group AG	66	Marc Walder	Director	$843k	66k	$12.77	+
2026-05-04	SRAD	Sportradar Group AG	66	William Kurtz	Director	$104k	8k	$12.97	+
2026-05-01	GEHC	GE HealthCare Technologies Inc.	69	James Saccaro	Chief Financial Officer	$201k	3k	$60.60	+
2026-05-01	TXT	Textron Inc.	58	Thomas A Kennedy	Director	$989k	10k	$95.98	+
